twb file name,object type,datasource name,table name,remote column name,local column name,worksheet name,dashboard name,property type,property name,property value,proposed value,conversion in TS,supported in TS,supported in Migrator,exec_error_details,exec_mode,exec_status,exec_start_time,exec_end_time,exec_id,output_file_type,output_file_name,last_ingested_date
Profit And Product Analysis (2).twb,dashboard property,,,,,City who made Profit,Profit Analysis,zone-style,width,98400,,,Default,,,command_line,success,2025-12-18 19:58:01.102705,2025-12-18 19:58:05.605683,de87b6828e32d62dcb76adea84c56b64,,,2025-12-18 19:58:05.613624
Profit And Product Analysis (2).twb,dashboard property,,,,,City who made Profit,Profit Analysis,zone-style,x_axis,800,,,Default,,,command_line,success,2025-12-18 19:58:01.102705,2025-12-18 19:58:05.605683,de87b6828e32d62dcb76adea84c56b64,,,2025-12-18 19:58:05.613624
Profit And Product Analysis (2).twb,dashboard property,,,,,City who made Profit,Profit Analysis,zone-style,y_axis,1000,,,Default,,,command_line,success,2025-12-18 19:58:01.102705,2025-12-18 19:58:05.605683,de87b6828e32d62dcb76adea84c56b64,,,2025-12-18 19:58:05.613624
Profit And Product Analysis (2).twb,dashboard property,,,,,Product Order Quantity,Product Analysis,zone-style,border_color,#000000,,,NoSup,,,command_line,success,2025-12-18 19:58:01.102705,2025-12-18 19:58:05.605683,de87b6828e32d62dcb76adea84c56b64,,,2025-12-18 19:58:05.613624
Profit And Product Analysis (2).twb,dashboard property,,,,,City who made Profit,Profit Analysis,zone-style,border_style,none,,,NoSup,,,command_line,success,2025-12-18 19:58:01.102705,2025-12-18 19:58:05.605683,de87b6828e32d62dcb76adea84c56b64,,,2025-12-18 19:58:05.613624
Profit And Product Analysis (2).twb,dashboard property,,,,,Product Order Quantity,Product Analysis,zone-style,border_style,none,,,NoSup,,,command_line,success,2025-12-18 19:58:01.102705,2025-12-18 19:58:05.605683,de87b6828e32d62dcb76adea84c56b64,,,2025-12-18 19:58:05.613624
Profit And Product Analysis (2).twb,dashboard property,,,,,Product Order Quantity,Product Analysis,zone-style,height,45476,,,Default,,,command_line,success,2025-12-18 19:58:01.102705,2025-12-18 19:58:05.605683,de87b6828e32d62dcb76adea84c56b64,,,2025-12-18 19:58:05.613624
Profit And Product Analysis (2).twb,dashboard property,,,,,Product Order Quantity,Product Analysis,zone-style,margin,4,,,NoSup,,,command_line,success,2025-12-18 19:58:01.102705,2025-12-18 19:58:05.605683,de87b6828e32d62dcb76adea84c56b64,,,2025-12-18 19:58:05.613624
Profit And Product Analysis (2).twb,dashboard property,,,,,Product Order Quantity,Product Analysis,zone-style,width,9656,,,Default,,,command_line,success,2025-12-18 19:58:01.102705,2025-12-18 19:58:05.605683,de87b6828e32d62dcb76adea84c56b64,,,2025-12-18 19:58:05.613624
Profit And Product Analysis (2).twb,dashboard property,,,,,Product Order Quantity,Product Analysis,zone-style,x_axis,89861,,,Default,,,command_line,success,2025-12-18 19:58:01.102705,2025-12-18 19:58:05.605683,de87b6828e32d62dcb76adea84c56b64,,,2025-12-18 19:58:05.613624
Profit And Product Analysis (2).twb,dashboard property,,,,,Product Order Quantity,Product Analysis,zone-style,y_axis,940,,,Default,,,command_line,success,2025-12-18 19:58:01.102705,2025-12-18 19:58:05.605683,de87b6828e32d62dcb76adea84c56b64,,,2025-12-18 19:58:05.613624
Profit And Product Analysis (2).twb,dashboard property,,,,,Region wise Sales and Profit,Product Analysis,zone-style,border_color,,,,NoSup,,,command_line,success,2025-12-18 19:58:01.102705,2025-12-18 19:58:05.605683,de87b6828e32d62dcb76adea84c56b64,,,2025-12-18 19:58:05.613624
Profit And Product Analysis (2).twb,dashboard property,,,,,Product Order Quantity,Product Analysis,zone-style,border_width,0,,,NoSup,,,command_line,success,2025-12-18 19:58:01.102705,2025-12-18 19:58:05.605683,de87b6828e32d62dcb76adea84c56b64,,,2025-12-18 19:58:05.613624
Profit And Product Analysis (2).twb,dashboard property,,,,,Region wise Sales and Profit,Product Analysis,zone-style,border_style,,,,NoSup,,,command_line,success,2025-12-18 19:58:01.102705,2025-12-18 19:58:05.605683,de87b6828e32d62dcb76adea84c56b64,,,2025-12-18 19:58:05.613624
